費用總計,航空公司,降落地點,出發日期,出發時間,飛行時間,抵達時間,col11
10523,台灣虎航,HND,20240112,10,250,400,3073
10390,樂桃,HND,20240112,2055,300,55,3074
9090,樂桃,HND,20240111,2055,300,55,3075
11199,台灣虎航,HND,20240111,10,250,400,3076
13290,樂桃,HND,20240113,2055,300,55,3077
15090,樂桃,HND,20240114,2055,300,55,3078
15090,樂桃,HND,20240115,2055,300,55,3079
9364,樂桃,HND,20240116,2055,300,55,3080
13290,樂桃,HND,20240117,2055,300,55,3081
30197,長榮航空,HND,20240117,715,250,1105,3082
13290,樂桃,HND,20240118,2055,300,55,3083
15090,樂桃,HND,20240119,2055,300,55,3084
10749,樂桃,HND,20240120,2055,300,55,3085
10749,樂桃,HND,20240121,2055,300,55,3086
14497,台灣虎航,HND,20240121,10,250,400,3087
10390,樂桃,HND,20240122,2055,300,55,3088
30003,長榮航空,HND,20240122,715,250,1105,3089
10390,樂桃,HND,20240123,2055,300,55,3090
11428,台灣虎航,HND,20240124,10,250,400,3091
13725,樂桃,HND,20240124,2055,300,55,3092
14199,台灣虎航,HND,20240125,10,250,400,3093
11790,樂桃,HND,20240125,2055,300,55,3094
14199,台灣虎航,HND,20240126,10,250,400,3095
11790,樂桃,HND,20240126,2055,300,55,3096
9404,樂桃,HND,20240127,2055,300,55,3097
14497,台灣虎航,HND,20240127,10,250,400,3098
9404,台灣虎航,HND,20240128,10,250,400,3099
11790,樂桃,HND,20240128,2055,300,55,3100
8290,樂桃,HND,20240129,2055,300,55,3101
11497,台灣虎航,HND,20240129,10,250,400,3102
7490,樂桃,HND,20240130,2055,300,55,3103
11419,台灣虎航,HND,20240130,10,250,400,3104
7748,樂桃,HND,20240131,2055,300,55,3105
11428,台灣虎航,HND,20240131,10,250,400,3106
6890,樂桃,HND,20240201,2055,300,55,3107
12353,台灣虎航,HND,20240201,10,250,400,3108
8290,樂桃,HND,20240202,2055,300,55,3109
14497,台灣虎航,HND,20240202,10,250,400,3110
7748,樂桃,HND,20240203,2055,300,55,3111
8290,樂桃,HND,20240204,2055,300,55,3112
7718,樂桃,HND,20240205,2055,300,55,3113
7490,樂桃,HND,20240206,2055,300,55,3114
10299,台灣虎航,HND,20240206,10,250,400,3115
9291,樂桃,HND,20240207,2055,300,55,3116
11428,台灣虎航,HND,20240207,10,250,400,3117
8290,樂桃,HND,20240208,2055,300,55,3118
6890,樂桃,HND,20240209,2055,300,55,3119
16498,台灣虎航,HND,20240209,10,250,400,3120
7102,樂桃,HND,20240210,2055,300,55,3121
16498,台灣虎航,HND,20240210,10,250,400,3122
10513,台灣虎航,HND,20240211,10,250,400,3123
8542,樂桃,HND,20240211,2055,300,55,3124
6890,樂桃,HND,20240212,2055,300,55,3125
10299,台灣虎航,HND,20240212,10,250,400,3126
5290,樂桃,HND,20240213,2055,300,55,3127
8299,台灣虎航,HND,20240213,10,250,400,3128
3790,樂桃,HND,20240214,2055,300,55,3129
7599,台灣虎航,HND,20240214,10,250,400,3130
4974,樂桃,HND,20240215,2055,300,55,3131
6515,台灣虎航,HND,20240215,10,250,400,3132
3907,樂桃,HND,20240216,2055,300,55,3133
6515,台灣虎航,HND,20240216,10,250,400,3134
3907,樂桃,HND,20240217,2055,300,55,3135
7007,台灣虎航,HND,20240217,10,250,400,3136
3790,樂桃,HND,20240218,2055,300,55,3137
6299,台灣虎航,HND,20240218,10,250,400,3138
3790,樂桃,HND,20240219,2055,300,55,3139
5799,台灣虎航,HND,20240219,10,250,400,3140
3907,樂桃,HND,20240220,2055,300,55,3141
6071,台灣虎航,HND,20240220,10,250,400,3142
5466,樂桃,HND,20240221,2055,300,55,3143
7608,台灣虎航,HND,20240221,10,250,400,3144
5290,樂桃,HND,20240222,2055,300,55,3145
11428,台灣虎航,HND,20240222,10,250,400,3146
11497,台灣虎航,HND,20240223,10,250,400,3147
10390,樂桃,HND,20240223,2055,300,55,3148
8290,樂桃,HND,20240224,2055,300,55,3149
14199,台灣虎航,HND,20240224,10,250,400,3150
8597,台灣虎航,HND,20240225,10,250,400,3151
8290,樂桃,HND,20240225,2055,300,55,3152
5790,樂桃,HND,20240226,2055,300,55,3153
10299,台灣虎航,HND,20240226,10,250,400,3154
7490,樂桃,HND,20240227,2055,300,55,3155
10597,台灣虎航,HND,20240227,10,250,400,3156
7490,樂桃,HND,20240227,2055,300,55,3157
10597,台灣虎航,HND,20240227,10,250,400,3158
5290,樂桃,HND,20240229,2055,300,55,3159
7399,台灣虎航,HND,20240229,10,250,400,3160
4938,樂桃,HND,20240301,2055,300,55,3161
7599,台灣虎航,HND,20240301,10,250,400,3162
4790,樂桃,HND,20240302,2055,300,55,3163
7608,台灣虎航,HND,20240302,10,250,400,3164
5790,樂桃,HND,20240303,2055,300,55,3165
6799,台灣虎航,HND,20240303,10,250,400,3166
4290,樂桃,HND,20240304,2055,300,55,3167
7097,台灣虎航,HND,20240304,10,250,400,3168
4290,樂桃,HND,20240305,2055,300,55,3169
6001,台灣虎航,HND,20240305,10,250,400,3170
4421,樂桃,HND,20240306,2055,300,55,3171
7007,台灣虎航,HND,20240306,10,250,400,3172
4290,樂桃,HND,20240307,2055,300,55,3173
7608,台灣虎航,HND,20240307,10,250,400,3174
4790,樂桃,HND,20240308,2055,300,55,3175
7399,台灣虎航,HND,20240308,10,250,400,3176
5452,樂桃,HND,20240309,2055,300,55,3177
8508,台灣虎航,HND,20240309,10,250,400,3178
6595,台灣虎航,HND,20240310,10,250,400,3179
5965,樂桃,HND,20240310,2055,300,55,3180
